mean,std,peak,min,label
9.86864910777917e-18,0.9999999999999998,4.737962673382525,-0.7386949325417275,Normal
2.960594732333751e-17,1.0,4.87774467124463,-0.904211685844796,Normal
-1.7270135938613546e-17,0.9999999999999997,4.877419441959348,-1.3797533173595509,Normal
9.86864910777917e-18,1.0,4.90120656253455,-0.8858536124561883,Normal
1.973729821555834e-17,1.0,4.758959235356893,-0.8907259220665512,Normal
-1.4802973661668754e-17,0.9999999999999998,4.869289542854727,-0.9010184944779048,Normal
-9.86864910777917e-18,1.0,4.881285757662182,-1.05380686146885,Abnormal
-4.934324553889585e-18,1.0,4.738521705989832,-0.8124962867435689,Normal
0.0,1.0,4.851396432089559,-0.9534260573485718,Normal
-2.960594732333751e-17,0.9999999999999999,4.875342215467924,-0.9088831912178477,Normal
1.973729821555834e-17,1.0,4.919325933787132,-1.0383919065264284,Normal
0.0,0.9999999999999998,4.840481865097611,-0.8572246457357275,Normal
-1.4802973661668754e-17,0.9999999999999999,4.859205937009146,-0.921414548293027,Normal
-9.86864910777917e-18,1.0,4.786472257554836,-1.2412722761191692,Normal
0.0,1.0,4.740342540849803,-0.9824191858463948,Normal
-2.960594732333751e-17,1.0,4.792916998633149,-0.8056650803229476,Normal
1.973729821555834e-17,1.0,4.870509675798902,-0.8465010632661303,Normal
-1.973729821555834e-17,0.9999999999999998,4.841132862160072,-1.0871142597486818,Normal
-2.2204460492503132e-17,0.9999999999999999,4.628793884506537,-0.8161056789053356,Normal
1.973729821555834e-17,1.0,4.919621200476254,-0.8850222610981484,Normal
1.973729821555834e-17,1.0,4.8162365423724385,-0.9123442814874441,Normal
-2.960594732333751e-17,1.0,4.820117812769406,-1.0742162266855413,Normal
-9.86864910777917e-18,0.9999999999999998,4.802647620670373,-0.9955673677134484,Normal
-1.973729821555834e-17,1.0,4.862076707645887,-0.9121877182822916,Normal
1.973729821555834e-17,1.0,4.542559484537848,-0.8859833353285571,Normal
-3.947459643111668e-17,1.0,4.806341003461441,-1.097063724692741,Normal
1.973729821555834e-17,0.9999999999999999,4.8106624435424346,-0.8459859078996805,Normal
1.4802973661668754e-17,0.9999999999999999,4.713288340614865,-1.0393018736089084,Normal
0.0,1.0,4.8858190874235,-0.9761349171392467,Normal
-1.973729821555834e-17,0.9999999999999998,4.786731305098242,-1.0712211502261433,Normal
0.0,1.0,4.787790515064188,-0.8387317874715662,Normal
0.0,1.0,4.746450364205209,-0.7479900618410721,Normal
-9.86864910777917e-18,1.0,4.9429945464961,-1.0486565103006678,Normal
1.973729821555834e-17,1.0,4.824830820487183,-1.19857373639888,Normal
-9.86864910777917e-18,1.0,4.8220473634602845,-0.9318449121366887,Normal
-3.947459643111668e-17,1.0,4.749924675172386,-1.118179974998932,Normal
3.947459643111668e-17,0.9999999999999998,4.813565774092246,-1.0122803741820063,Normal
-1.4802973661668754e-17,0.9999999999999999,4.9355354828784925,-0.978784138386039,Normal
-9.86864910777917e-18,0.9999999999999999,4.828526153573201,-0.9175449083022662,Normal
9.86864910777917e-18,0.9999999999999999,4.765152913866868,-0.824769563480521,Normal
0.0,0.9999999999999999,4.984519958679368,-1.129092982074733,Normal
-9.86864910777917e-18,0.9999999999999998,4.664575565410437,-0.9813824387563724,Normal
-9.86864910777917e-18,1.0,4.808096308335262,-0.8357647471999401,Normal
-4.934324553889585e-18,1.0,4.7485525654897724,-0.9615938161211361,Normal
0.0,1.0,4.692410780381475,-1.5038984201733405,Normal
9.86864910777917e-18,1.0,4.8790364723714195,-0.8983998365980135,Normal
9.86864910777917e-18,1.0,4.7917007202522255,-0.9537359756824149,Normal
-9.86864910777917e-18,1.0,4.807153874396444,-0.9888739682572062,Normal
0.0,1.0,4.76574845038905,-1.0940693653398357,Normal
1.973729821555834e-17,1.0,4.849677572204557,-0.968810780310103,Normal
0.0,1.0,4.831890723350498,-1.0187342053816573,Normal
-9.86864910777917e-18,1.0,4.799584982791637,-1.1608919163532787,Normal
-9.86864910777917e-18,1.0,4.771623600118848,-1.0644497949263108,Normal
0.0,1.0,4.819407706218548,-0.888157743112643,Normal
0.0,1.0,4.650229722772285,-0.8091691658244726,Normal
0.0,0.9999999999999999,4.798472314041038,-0.8874860628203217,Normal
-3.947459643111668e-17,0.9999999999999999,4.861023644835984,-1.0198296364006953,Normal
0.0,0.9999999999999998,4.868865312594083,-0.9165979282197168,Normal
-9.86864910777917e-18,1.0,4.82425261208857,-1.061206229095134,Normal
1.7270135938613546e-17,0.9999999999999998,4.62302720741095,-0.8021761410953181,Normal
-9.86864910777917e-18,1.0,4.823987482280348,-0.8873577610142185,Normal
9.86864910777917e-18,1.0,4.754075055810565,-1.1099440002169645,Normal
0.0,1.0,4.733239004150178,-1.0382566059172675,Normal
1.973729821555834e-17,1.0,4.686241133432475,-1.0667410794984693,Normal
9.86864910777917e-18,0.9999999999999999,4.840167643610088,-0.9106340668209179,Normal
0.0,1.0,4.787771562208054,-0.9836969704184696,Normal
9.86864910777917e-18,1.0,4.700973252113578,-0.9461187114679548,Normal
